day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,service_year_of_vehicle,defect_of_vehicle,area_accident_occured,lanes_or_medians,road_allignment,types_of_junction,road_surface_type,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,pedestrian_movement,cause_of_accident,hour,time_period,Predicted_Accident_Severity
Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,8,Morning,2
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Unknown,Vehicle with vehicle collision,1,1,Moving Backward,Not a Pedestrian,Moving Backward,0,Night,1
Sunday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,No distancing,0,Night,2
Sunday,31-50,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the left,0,Night,2
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the left,0,Night,2
Sunday,18-30,Male,Elementary school,Employee,5-10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Other,Not a Pedestrian,No priority to pedestrian,0,Night,2
Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Not a Pedestrian,Changing lane to the left,15,Afternoon,2
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Driving carelessly,15,Afternoon,2
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Not a Pedestrian,Driving carelessly,15,Afternoon,2
Saturday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,16,Afternoon,2
Saturday,Under 18,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,16,Afternoon,2
Friday,Under 18,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Not a Pedestrian,No distancing,1,Night,2
Friday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,1,Night,2
Monday,Over 51,Male,Elementary school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No priority to vehicle,19,Evening,2
Monday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,19,Evening,2
Monday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Not a Pedestrian,No priority to pedestrian,19,Evening,2
Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Motorcycle,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Not a Pedestrian,No priority to pedestrian,19,Evening,2
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect, Church areas,Undivided Two way,Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,No priority to vehicle,19,Evening,2
Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Ridden horse,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Driving carelessly,17,Evening,2
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,Other,Double carriageway (median),Gentle horizontal curve,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Not a Pedestrian,Changing lane to the right,17,Evening,1
Sunday,31-50,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,21,Night,2
Sunday,31-50,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,5-10yrs,No defect, Church areas,Unknown,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Moving Backward,21,Night,1
Monday,Over 51,Male,Elementary school,Owner,5-10yr,Public (> 45 seats),Owner,1-2yr,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving carelessly,14,Afternoon,2
Monday,Over 51,Male,Elementary school,Employee,2-5yr,Stationwagen,Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving to the left,14,Afternoon,2
Monday,18-30,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving to the left,14,Afternoon,2
Sunday,31-50,Male,Elementary school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Turnover,Not a Pedestrian,No priority to pedestrian,17,Evening,2
Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Not a Pedestrian,Changing lane to the left,17,Evening,2
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Governmental,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the right,21,Night,2
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Above 10yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,21,Night,2
Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Organization,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,7,Morning,2
Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Organization,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,7,Morning,2
Wednesday,31-50,Male,Elementary school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,10,Morning,2
Wednesday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,13,Afternoon,1
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Taxi,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Getting off,Not a Pedestrian,Driving carelessly,13,Afternoon,1
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Moving Backward,Not a Pedestrian,Moving Backward,13,Afternoon,2
Thursday,18-30,Male,Elementary school,Owner,1-2yr,Public (12 seats),Owner,Unknown,No defect,  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Turnover,11,Morning,2
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Governmental,Unknown,No defect,Office areas,other,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,11,Morning,2
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,5-10yrs,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,19,Evening,2
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No priority to vehicle,19,Evening,2
Friday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Moving Backward,9,Morning,2
Friday,18-30,Male,Junior high school,Owner,Below 1yr,Automobile,Governmental,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,9,Morning,2
Wednesday,18-30,Male,High school,Employee,Below 1yr,Public (12 seats),Owner,1-2yr,No defect, Industrial areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overturning,14,Afternoon,1
Wednesday,Over 51,Female,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,14,Afternoon,1
Friday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Not a Pedestrian,Driving carelessly,14,Afternoon,1
Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,14,Afternoon,2
Tuesday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,22,Night,2
Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,22,Night,2
Thursday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Escarpments,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,7,Morning,1
Thursday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Moving Backward,Not a Pedestrian,No distancing,7,Morning,2
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,7,Morning,1
Thursday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,7,Morning,1
Wednesday,31-50,Male,Illiterate,Employee,2-5yr,Public (> 45 seats),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Changing lane to the left,8,Morning,1
